value,valuehat
2134653.8,2042739.13
1930441.28,2011710.85
2090621.51,2278705.85
1851360.32,1909913.98
1711592.22,1817678.43
2022229.58,1939925.9
2488516.2008,2182606.89
2446159.15,2138540.0
2498647.74,2106056.55
2803574.11,2385573.14
2195972.01,1999485.59
2193022.37,1902924.36
2233251.6158,2030905.01
2336032.06,2182606.89
2349663.26,2138540.0
2104682.42,2106056.55
2180357.82,2385573.14
1935594.43,1999485.59
1875074.39,1902924.36
2169464.57,2030905.01
2278211.34,2182606.89
2233570.43,2138540.0
2063636.5,2106056.55
1982422.98,2385573.14
1552194.29,1999485.59
1737137.03,1902924.36
1770739.36,2030905.01
2028840.8,2182606.89
1932011.8,2138540.0
1603083.09,2106056.55
2025388.03,2385573.14
1566074.64,1999485.59
1677580.52,1902924.36
1954640.3,2030905.01
2268328.78,2182606.89
1912754.45,2138540.0
1912664.12,2100934.83
2269660.05,2367375.58
1829883.95,1973897.41
2129078.66,1868786.55
2015320.49,1984082.2
2272671.74,2121179.62
1866081.31,2067526.93
2269136.8,2025516.1
2189258.54,2282392.25
1992634.63,1903039.04
1849324.31,1801701.41
1988655.67,1912858.21
2435059.86,2045034.16
1765927.65,1993307.48
1760892.08,2100934.83
2075074.14,2379771.66
2179237.58,1994623.03
1895602.15,1898296.63
2114720.31,2025966.05
2216028.54,2177299.0
2208460.59,2133339.28
2383620.75,2100934.83
2067985.51,2379771.66
1669797.4,1994623.03
2151496.02,1898296.63
2014795.64,2025966.05
2289163.14,2177299.0
2331346.34,2133339.28
1688236.46,2100934.83
2102010.19,2379771.66
1655657.54,1994623.03
2110451.1,1863745.91
2175123.85,1989091.63
2453821.4,2137670.19
2279744.16,2094510.57
2000187.3855,2062695.91
2268964.57,2336457.66
2041248.81,1958319.08
1847303.01,1863745.91
1931869.72,1989091.63
2144242.31,2137670.19
2152905.82,2094510.57
1929820.86,2062695.91
2096941.02,2336457.66
1676472.23,1958319.08
1489638.5,1863745.91
1820362.33,1989091.63
2125143.73,2137670.19
1790949.03,2094510.57
2074917.13,2062695.91
2179752.72,2336457.66
1820259.47,1958319.08
1724862.94,1863745.91
2076299.95,1989091.63
2292644.03,2137670.19
1874236.66,2094510.57
1959304.49,2062695.91
2172537.65,2336457.66
1929105.89,1958319.08
1736718.35,1863745.91
2082365.47,1989091.63
2161217.02,2137670.19
2312901.49,2112005.07
2138524.54,2914960.0
3364097.04,3338601.85
2658412.78,2591151.96
2623499.52,2407735.64
2598978.44,2687380.52
2869747.98,3051233.96
3218593.19,2207481.6
1847896.96,2241109.24
2319357.13,2396887.12
2037315.45,2208673.33
1860150.11,2005604.12
2170389.92,2307529.0
2215272.4,2365888.96
2181717.36,2387532.33
2064925.88,2151491.82
2807062.77,2413072.34
1745217.44,2038359.95
1789212.62,1879312.94
2101847.93,2005705.61
1979476.17,2155525.18
1946620.15,2112005.07
1956255.0,2079924.67
2147337.23,2355973.03
1436878.89,1974676.04
1414358.33,1879312.94
1790987.47,2005705.61
1839228.3,2155525.18
1779374.72,2112005.07
1662277.41,2079924.67
2482875.15,2326492.4
2153417.53,1949966.62
2197085.65,1855796.81
2046042.75,1980607.92
2031633.45,2128552.78
2089584.94,2085577.24
1994145.86,2053898.27
2766935.4,2326492.4
1818133.63,1949966.62
1841185.52,1855796.81
2105562.59,1980607.92
2067433.97,2128552.78
2026956.4,2085577.24
1962705.99,2053898.27
1993375.1300000001,2326492.4
1759634.16,1949966.62
1748513.7,1855796.81
1993019.75,1980607.92
1887149.55,2128552.78
1956687.63,2085577.24
1977416.26,2053898.27
1930468.64,2326492.4
1616574.58,1949966.62
1788389.7128,1855796.81
2146086.45,1980607.92
2207377.62,2128552.78
1939883.239,2085577.24
1828586.0,2053898.27
2312110.15,2326492.4
2078086.93,1949966.62
2220228.7,2074044.53
2477557.35,2087441.65
2855899.31,2447710.4
2629972.79,2315393.19
2156383.55,2218445.47
2561717.068,2512878.36
2247436.9,2106187.39
2062944.33,2004473.21
2162079.12,2139283.5
2414188.68,2299080.89
2212037.99,2252662.39
2647805.64,2218445.47
2481445.1,2512878.36
1975226.35,2106187.39
2006639.02,2004473.21
2163472.89,2139283.5
2117866.86,2065789.65
2243816.11,2033595.98
2153039.23,2029735.77
2115570.2,2224516.08
1611074.6300000001,1887235.1
1799205.91,1698261.67
1889170.53,1951835.47
1986352.37,2299080.89
1836267.59,2252662.39
2121722.15,2218445.47
2201017.55,2512878.36
1722958.37,2106187.39
1653013.83,2004473.21
2023921.32,2139283.5
2065263.75,2299080.89
2048337.78,2464006.75
2293791.44,2426579.61
3074782.79,2748636.12
2147295.41,2303789.5
2110595.48,2192532.52
2297243.37,2242420.13
2855928.63,2664042.45
2500796.42,2364822.74
2172536.14,2426579.61
2283409.56,2748636.12
2245714.15,2303789.5
2133849.86,2192532.52
2505244.88,2339990.68
2283004.3,2514780.23
2309418.45,2464006.75
3075549.34,2426579.61
2472515.08,2748636.12
