SKU,Local,Forecast sumarizado
10019,00005,687.0
10091,00005,658.0
100933,00005,112.0
10112,00005,56.0
101161,00005,120.0
102,00005,93.0
102024,00005,135.0
102878,00005,104.0
102879,00005,122.0
103690,00005,706.0
103814,00005,80.0
103816,00005,111.0
103986,00005,3424.0
104824,00005,56.0
10523,00005,123.0
10524,00005,286.0
105314,00005,175.0
10547,00005,124.0
10714,00005,176.0
10735,00005,12829.0
10736,00005,1374.0
10737,00005,293.0
10796,00005,407.0
10887,00005,388.0
10888,00005,64.0
10949,00005,56.0
10952,00005,101.0
109602,00005,444.0
11017,00005,56.0
110363,00005,154.0
110499,00005,72.0
110558,00005,216.0
110559,00005,120.0
110560,00005,107.0
111179,00005,80.0
11266,00005,80.0
113487,00005,69.0
113618,00005,40485.0
113928,00005,56.0
114007,00005,466.0
115511,00005,112.0
116558,00005,72.0
116731,00005,56.0
116768,00005,1482.0
116769,00005,636.0
117046,00005,120.0
11776,00005,113.0
118087,00005,108.0
118771,00005,112.0
119367,00005,120.0
119595,00005,56.0
119779,00005,125.0
119986,00005,120.0
120004,00005,535.0
120006,00005,216.0
120990,00005,256.0
120991,00005,88.0
121868,00005,112.0
121872,00005,217.0
122178,00005,10201.0
122807,00005,120.0
125550,00005,234.0
125669,00005,1074.0
125671,00005,738.0
126180,00005,100.0
126192,00005,2372.0
126196,00005,5450.0
126244,00005,228.0
1283,00005,205.0
12837,00005,83.0
130184,00005,248.0
131131,00005,2713.0
13121,00005,194.0
131281,00005,168.0
131674,00005,56.0
131904,00005,238.0
13285,00005,112.0
134156,00005,104.0
135286,00005,761.0
135711,00005,361.0
135712,00005,460.0
136398,00005,56.0
136718,00005,38883.0
13673,00005,56.0
137741,00005,116.0
137748,00005,102.0
1392,00005,162.0
1393,00005,278.0
14006,00005,56.0
140643,00005,223.0
140816,00005,128.0
140900,00005,145.0
140901,00005,4745.0
140965,00005,181.0
141,00005,179.0
141139,00005,88.0
1414,00005,56.0
144061,00005,120.0
145882,00005,56.0
146409,00005,56.0
148051,00005,73.0
14814,00005,64.0
148177,00005,553.0
149096,00005,115.0
149652,00005,72.0
150419,00005,89.0
150420,00005,80.0
150866,00005,192.0
151530,00005,60.0
151682,00005,109.0
151683,00005,112.0
152036,00005,712.0
15257,00005,112.0
153396,00005,56.0
